,Date,Net Sales,Orders,Guests
06/05/2023,1970-01-01 00:00:00.000000000,0,0,
06/06/2023,1970-01-01 00:00:00.000000597,16,16,
06/07/2023,1970-01-01 00:00:00.000000347,10,10,
06/08/2023,1970-01-01 00:00:00.000000412,13,13,
06/09/2023,1970-01-01 00:00:00.000000839,26,26,
06/10/2023,1970-01-01 00:00:00.000000947,30,30,
06/11/2023,1970-01-01 00:00:00.000000590,17,17,
06/12/2023,1970-01-01 00:00:00.000000000,0,0,
06/13/2023,1970-01-01 00:00:00.000000295,8,8,
06/14/2023,1970-01-01 00:00:00.000000692,20,20,
06/15/2023,1970-01-01 00:00:00.000000107,5,5,
06/16/2023,1970-01-01 00:00:00.000000780,24,24,
06/17/2023,1970-01-01 00:00:00.000000867,25,25,
06/18/2023,1970-01-01 00:00:00.000000930,25,25,
06/19/2023,1970-01-01 00:00:00.000000000,0,0,
06/20/2023,1970-01-01 00:00:00.000000655,24,24,
06/21/2023,1970-01-01 00:00:00.000000517,20,20,
06/22/2023,1970-01-01 00:00:00.000000458,16,16,
06/23/2023,1970-01-01 00:00:00.000000941,29,29,
06/24/2023,1970-01-01 00:00:00.000000589,21,21,
06/25/2023,1970-01-01 00:00:00.000000834,23,23,
06/26/2023,1970-01-01 00:00:00.000000000,0,0,
06/27/2023,1970-01-01 00:00:00.000000951,24,24,
06/28/2023,1970-01-01 00:00:00.000000789,21,21,
06/29/2023,1970-01-01 00:00:00.000000655,18,18,
06/30/2023,1970-01-01 00:00:00.000001815,53,53,
07/01/2023,1970-01-01 00:00:00.000001406,42,42,
07/02/2023,1970-01-01 00:00:00.000001031,31,31,
07/03/2023,1970-01-01 00:00:00.000000000,0,0,
07/04/2023,1970-01-01 00:00:00.000000669,23,23,
07/05/2023,1970-01-01 00:00:00.000000603,18,18,
07/06/2023,1970-01-01 00:00:00.000000549,16,16,
07/07/2023,1970-01-01 00:00:00.000001338,38,38,
07/08/2023,1970-01-01 00:00:00.000001307,36,36,
07/09/2023,1970-01-01 00:00:00.000001069,29,29,
07/10/2023,1970-01-01 00:00:00.000000000,0,0,
