Type,Menu,Menu group,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Deferred,Qty sold,Avg. price,Avg. item price (not incl. mods),Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
menuItem,Doordash Menu,Side,Red Peppers Bags 3,,,,[],false,6.0,0.86,0.86,5.14,0.0,0.0,0.0,5.14,0.44,0.0,0.0
menuItem,Doordash Menu,Side,Parmesan Bags 3,,,,[],false,10.0,0.75,0.75,7.5,0.0,0.0,0.0,7.5,0.65,0.0,0.0
menuItem,Doordash Menu,Side,Side Cilantro,,,,[],false,1.0,0.99,0.99,0.99,0.0,0.0,0.0,0.99,0.08,0.0,0.0
menuItem,Doordash Menu,Side,Side Basil,,,,[],false,1.0,0.99,0.99,0.99,0.0,0.0,0.0,0.99,0.08,0.0,0.0
"",Side,,,,,,,,390.0,1.73,,674.52,2.89,1.99,27.21,669.64,54.11,0.0,0.0
"",Side,Side,,,,,,,390.0,1.73,,674.52,2.89,1.99,27.21,669.64,54.11,0.0,0.0
menuItem,Side,Side,Hot Honey,,,Pizza,[],false,76.0,1.57,1.54,119.24,0.4,1.99,4.97,116.85,9.43,0.0,0.0
menuItem,Side,Side,Ranch,,,Pizza,[],false,165.0,1.75,1.75,289.35,0.04,0.0,6.95,289.31,23.41,0.0,0.0
menuItem,Side,Side,Naga Dip,,,Pizza,[],false,70.0,1.99,1.99,139.3,2.41,0.0,3.98,136.89,11.02,0.0,0.0
menuItem,Side,Side,Red Peppers Bags 3,,,Pizza,[],false,7.0,0.88,0.88,6.13,0.0,0.0,2.17,6.13,0.52,0.0,0.0
menuItem,Side,Side,Parmesan Bags 3,,,Pizza,[],false,8.0,0.89,0.89,7.12,0.0,0.0,1.18,7.12,0.6,0.0,0.0
menuItem,Side,Side,Side Olives,,,Pizza,[],false,3.0,0.99,0.99,2.97,0.0,0.0,0.0,2.97,0.24,0.0,0.0
menuItem,Side,Side,Side Cilantro,,,Pizza,[],false,1.0,0.50,0.50,0.5,0.0,0.0,0.0,0.5,0.03,0.0,0.0
menuItem,Side,Side,Side Basil,,,Pizza,[],false,1.0,0.50,0.50,0.5,0.0,0.0,0.0,0.5,0.03,0.0,0.0
menuItem,Side,Side,Side Jalapeno,,,Pizza,[],false,3.0,0.99,0.99,2.97,0.0,0.0,0.0,2.97,0.24,0.0,0.0
menuItem,Side,Side,Side Banana Peppers,,,Pizza,[],false,1.0,0.99,0.99,0.99,0.0,0.0,0.0,0.99,0.08,0.0,0.0
menuItem,Side,Side,Side Garlic Mayo,,,Pizza,[],false,21.0,1.80,1.80,37.79,0.04,0.0,0.0,37.75,3.04,0.0,0.0
menuItem,Side,Side,Marinara Sauce,,,Pizza,[],false,34.0,1.99,1.99,67.66,0.0,0.0,7.96,67.66,5.47,0.0,0.0
